# DEJ2000 AGC Flag ObjID RAJ2000 RVel Dist e_Dist gext iext b/a e_b/a imag e_imag Dprop Sloan Ag Ai iMAG e_iMAG g-i e_g-i logMsT e_logMsT logMsM e_logMsM logMsG e_logMsG logSFR22 e_logSFR22 logSFRN e_logSFRN logSFRG e_logSFRG logMHI e_logMHI WRAPPED_RA WRAPPED_DE px py pz size
16.67056 251505 1 1237665549437370743 240.157070 10478 151.0 2.3 0.12 0.06 0.37 0.01 14.95 0.01 Dprop Sloan 1.08 0.60 -21.27 0.14 0.80 0.19 10.22 0.14 10.51 0.01 10.40 0.03 0.04 0.03 0.06 0.03 -0.04 0.11 9.63 0.08 -2.091654 0.29096 -72.0 -125.5 43.3 1
16.67111 739350 1 1237668288010125433 155.836650 13669 200.0 2.4 0.11 0.06 0.81 0.01 16.02 0.01 Dprop Sloan 0.98 0.53 -20.59 0.04 0.64 0.05 9.83 0.04 10.08 0.01 9.87 0.06 -0.63 0.24 -0.05 0.03 -0.03 0.08 9.95 0.06 2.719863 0.29097 -174.8 78.4 57.4 1
16.67167 198593 1 1237667782816432268 140.833330 11544 169.2 2.1 0.11 0.06 0.68 0.01 16.09 0.01 Dprop Sloan 0.83 0.47 -20.19 0.06 0.61 0.08 9.65 0.06 10.02 0.01 "" "" -0.16 0.06 "" "" "" "" 9.63 0.06 2.458005 0.29098 -125.7 102.4 48.5 1
16.67194 258659 1 1237667733988639143 225.060410 13583 196.6 2.2 0.11 0.06 0.64 0.05 17.59 0.04 Dprop Sloan 0.56 0.29 -18.99 0.08 0.31 0.10 8.96 0.08 9.22 0.02 "" "" "" "" "" "" "" "" 10.04 0.06 -2.355140 0.29098 -133.0 -133.3 56.4 1
16.67306 330288 1 1237679455994904785 350.541260 12134 168.2 2.3 0.08 0.04 0.82 0.01 15.68 0.01 Dprop Sloan 1.10 0.52 -20.53 0.04 0.37 0.05 9.62 0.04 10.09 0.01 "" "" 0.28 0.03 "" "" "" "" 9.98 0.05 -0.165086 0.29100 158.9 -26.5 48.3 1
16.67306 100707 1 1237678600774746315 15.258330 11863 164.8 2.2 0.15 0.08 0.85 0.01 14.72 0.01 Dprop Sloan 1.32 0.67 -21.49 0.04 0.61 0.04 10.17 0.04 10.50 0.01 "" "" 0.17 0.03 0.43 0.02 "" "" 9.96 0.05 0.266308 0.29100 152.3 41.5 47.3 1
16.67306 330288 1 1237679455994904785 350.541260 12134 168.2 2.3 0.08 0.04 0.82 0.01 15.68 0.01 Dprop Sloan 1.10 0.52 -20.53 0.04 0.37 0.05 9.62 0.04 10.09 0.01 "" "" 0.28 0.03 "" "" "" "" 9.98 0.05 -0.165086 0.29100 158.9 -26.5 48.3 1
16.67306 100707 1 1237678600774746315 15.258330 11863 164.8 2.2 0.15 0.08 0.85 0.01 14.72 0.01 Dprop Sloan 1.32 0.67 -21.49 0.04 0.61 0.04 10.17 0.04 10.50 0.01 "" "" 0.17 0.03 0.43 0.02 "" "" 9.96 0.05 0.266308 0.29100 152.3 41.5 47.3 1
16.67389 125420 1 1237678602391584971 30.211250 3704 50.3 2.3 0.16 0.08 0.79 0.03 18.15 0.03 Dprop Sloan 0.00 0.00 -15.44 0.11 -0.18 0.06 7.20 0.06 7.93 0.05 "" "" -1.32 0.11 "" "" "" "" 8.77 0.06 0.527286 0.29101 41.6 24.2 14.4 1
16.67555 741264 1 1237668584898756729 175.507080 3062 46.3 2.3 0.08 0.04 0.66 0.01 16.98 0.01 Dprop Sloan 0.00 0.00 -16.39 0.12 0.31 0.08 7.92 0.08 8.29 0.04 7.84 0.07 "" "" "" "" -1.39 0.07 8.66 0.07 3.063176 0.29104 -44.2 3.5 13.3 1
